expected_price,predicted_price
5959.15,6499.0
18027.88,7078.0
2148.14,1185.0
946.94,2983.0
1604.74,3501.0
2084.56,1878.0
969.4299999999998,1474.0
1733.44,2199.0
4293.14,2967.0
1427.77,1868.0
2434.14,3303.0
1197.26,933.0
1218.64,1212.0
1862.14,1872.0
1075.64,2847.0
1647.64,1952.0
7868.139999999999,3831.0
1218.64,1441.0
1032.74,1518.0
1504.64,1277.0
875.44,861.0
1104.24,1270.0
2863.14,3154.0
4293.14,2353.0
1004.1400000000001,1847.0
2605.74,4421.0
3687.44,1753.0
675.24,1600.0
3721.14,3334.0
718.1399999999996,-88.0
3827.01,1516.0
2219.64,2716.0
861.1399999999999,2305.0
861.1399999999999,1207.0
1253.94,2639.0
824.4000000000001,1416.0
509.56999999999994,1251.0
727.01,1165.0
1719.14,1832.0
4293.14,3259.0
861.1399999999999,1141.0
2148.14,2460.0
1343.07,1130.0
3926.12,2045.0
882.46,2249.0
3405.86,6186.0
4150.14,1980.0
1433.1399999999999,1989.0
2863.14,2571.0
5008.14,2499.0
2276.84,2583.0
1147.14,2570.0
1722.38,1975.0
1576.1400000000003,1615.0
2557.62,3649.0
13146.82,7652.0
7880.879999999999,4941.0
575.1399999999999,1347.0
4393.19,2145.0
846.8400000000001,869.0
2917.5,3335.0
3578.14,3723.0
6438.140000000001,5201.0
1761.8600000000001,3266.0
2326.38,4621.0
618.04,886.0
861.1399999999999,1577.0
1719.14,3804.0
3006.14,1666.0
1433.1399999999999,1918.0
718.1399999999996,1674.0
3813.76,2592.0
1004.1400000000001,1532.0
2863.14,2478.0
1576.1400000000003,2301.0
646.6400000000001,1395.0
703.8400000000001,1587.0
575.1399999999999,1473.0
1147.14,885.0
1433.1399999999999,3371.0
4579.14,3159.0
1118.54,-387.0
832.54,2483.0
2148.14,1027.0
2505.64,2530.0
1433.1399999999999,1354.0
2019.44,1739.0
1147.14,597.0
2505.64,1364.0
7153.139999999999,7633.0
3206.44,3987.0
1004.1400000000001,1152.0
5866.139999999999,3598.0
775.3400000000004,1304.0
3006.14,2861.0
975.8400000000004,2175.0
861.1399999999999,718.0
3149.14,2808.0
1790.64,2457.0
2720.14,1501.0
3006.14,1458.0
1075.64,839.0
2148.14,1981.0
2720.14,2637.0
1933.64,2223.0
1218.64,3051.0
1647.64,2060.0
4722.14,3624.0
1862.14,2380.0
5008.68,3054.0
1147.14,2818.0
1075.64,1133.0
1551.2,3331.0
2262.54,1204.0
575.1399999999999,536.0
904.3899999999999,1575.0
1147.14,1427.0
1819.24,2267.0
718.1399999999996,1514.0
3935.6400000000003,4144.0
1218.64,1384.0
889.7400000000002,1400.0
789.6399999999999,2992.0
1647.64,1442.0
