expected_price,predicted_price
1004.1400000000001,2080.0
2148.14,1380.0
2148.14,2369.0
6252.24,3250.0
2362.64,2633.0
2505.64,2079.0
679.3600000000001,1997.0
1361.64,2040.0
2577.14,2028.0
1600.28,3104.0
3149.14,2260.0
1218.64,2607.0
1004.1400000000001,1083.0
932.6399999999999,2654.0
1347.34,2023.0
1104.24,1645.0
8652.68,5954.0
959.1400000000001,724.0
1421.86,1518.0
1576.1400000000003,1797.0
546.54,1473.0
1004.1400000000001,1171.0
4748.33,3259.0
1790.64,3531.0
1624.8599999999997,1451.0
9545.970000000001,4362.0
932.6399999999999,819.0
14303.14,19986.0
932.6399999999999,1677.0
861.1399999999999,1373.0
646.6400000000001,1785.0
3721.14,2052.0
1790.64,2332.0
5959.15,6183.0
18027.88,11868.0
2148.14,1617.0
946.94,2284.0
1604.74,3045.0
2084.56,1695.0
969.4299999999998,1466.0
1733.44,2911.0
4293.14,2787.0
1427.77,1722.0
2434.14,3916.0
1197.26,1119.0
1218.64,1252.0
1862.14,1788.0
1075.64,2327.0
1647.64,1686.0
7868.139999999999,3968.0
1218.64,1621.0
1032.74,1346.0
1504.64,1282.0
875.44,1015.0
1104.24,1126.0
2863.14,2469.0
4293.14,2433.0
1004.1400000000001,1497.0
2605.74,3887.0
3687.44,1726.0
675.24,1755.0
3721.14,3718.0
718.1399999999996,656.0
3827.01,1354.0
2219.64,2728.0
861.1399999999999,2079.0
861.1399999999999,2070.0
1253.94,2559.0
824.4000000000001,974.0
509.56999999999994,1094.0
727.01,1087.0
1719.14,1645.0
4293.14,3179.0
861.1399999999999,1324.0
2148.14,1922.0
1343.07,1327.0
3926.12,1790.0
882.46,2067.0
3405.86,7996.0
4150.14,4656.0
1433.1399999999999,2171.0
2863.14,2247.0
5008.14,2608.0
2276.84,2298.0
1147.14,2016.0
1722.38,1881.0
1576.1400000000003,1719.0
2557.62,3217.0
13146.82,10033.0
7880.879999999999,4558.0
575.1399999999999,1838.0
4393.19,1818.0
846.8400000000001,1239.0
2917.5,2803.0
3578.14,3800.0
6438.140000000001,5236.0
1761.8600000000001,2704.0
2326.38,4748.0
618.04,937.0
861.1399999999999,1968.0
1719.14,4275.0
3006.14,1755.0
1433.1399999999999,1839.0
718.1399999999996,1254.0
3813.76,2330.0
1004.1400000000001,1350.0
2863.14,1981.0
1576.1400000000003,2405.0
646.6400000000001,1094.0
703.8400000000001,1301.0
575.1399999999999,1527.0
1147.14,1132.0
1433.1399999999999,3625.0
4579.14,2546.0
1118.54,436.0
832.54,2560.0
2148.14,1192.0
2505.64,2474.0
1433.1399999999999,1463.0
2019.44,1554.0
1147.14,870.0
2505.64,1781.0
7153.139999999999,9323.0
3206.44,3719.0
1004.1400000000001,1324.0
5866.139999999999,3374.0
775.3400000000004,1372.0
3006.14,3244.0
975.8400000000004,2177.0
861.1399999999999,1244.0
3149.14,5337.0
1790.64,2572.0
2720.14,1429.0
3006.14,2073.0
1075.64,1000.0
2148.14,2052.0
2720.14,2482.0
1933.64,2410.0
1218.64,2048.0
1647.64,1662.0
4722.14,3717.0
1862.14,2067.0
5008.68,4057.0
1147.14,2635.0
1075.64,1247.0
1551.2,2886.0
2262.54,1334.0
575.1399999999999,1184.0
904.3899999999999,1328.0
1147.14,1431.0
1819.24,1641.0
718.1399999999996,1253.0
3935.6400000000003,4281.0
1218.64,1171.0
889.7400000000002,1273.0
789.6399999999999,2719.0
1647.64,1090.0
2076.64,4186.0
575.1399999999999,1022.0
1719.14,2089.0
1132.84,1100.0
1193.65,962.0
1047.0400000000002,788.0
660.94,1229.0
546.54,988.0
1075.64,1595.0
1576.1400000000003,2627.0
2148.14,2216.0
789.6399999999999,1971.0
2760.43,1755.0
646.6400000000001,1039.0
4293.14,2526.0
1433.1399999999999,1601.0
575.1399999999999,551.0
5723.140000000001,8734.0
975.54,1776.0
